Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
16-Nov,,"883,157","2,298,856"
17-Nov,,"611,497","1,900,895"
18-Nov,,"703,135","2,071,631"
19-Nov,,"907,332","2,428,095"
20-Nov,,"1,019,836","2,550,459"
21-Nov,,"984,369","2,194,291"
22-Nov,,"1,047,934","2,321,546"
23-Nov,,"917,354","2,254,188"
24-Nov,,"912,090","2,435,170"
25-Nov,,"1,070,967","2,624,250"
26-Nov,,"560,902","1,591,158"
27-Nov,,"820,399","1,968,137"
28-Nov,,"964,630","2,648,268"
29-Nov,,"1,176,091","2,882,915"
30-Nov,,"981,912","2,591,470"
1-Dec,,"780,283","2,280,403"
2-Dec,,"632,356","2,054,380"
3-Dec,,"738,050","2,262,878"
4-Dec,,"753,951","2,278,205"
5-Dec,,"629,430","1,755,801"
6-Dec,,"837,137","2,292,079"
7-Dec,,"703,546","2,226,290"
8-Dec,,"501,513","1,897,051"
9-Dec,,"564,372","2,020,488"
10-Dec,,"754,307","2,362,310"
11-Dec,,"787,489","2,388,029"
12-Dec,,"662,380","1,893,871"
13-Dec,,"865,014","2,300,248"
14-Dec,,"752,451","2,250,386"
15-Dec,,"552,024","2,009,112"
16-Dec,,"641,966","2,234,374"
17-Dec,,"846,934","2,471,408"
18-Dec,,"1,066,747","2,608,088"
19-Dec,,"1,073,563","2,487,987"
20-Dec,,"1,064,619","2,519,399"
21-Dec,,"954,782","2,490,503"
22-Dec,,"992,167","1,981,433"
23-Dec,,"1,191,123","1,937,235"
24-Dec,,"846,520","2,552,194"
25-Dec,,"616,469","2,582,580"
26-Dec,,"1,128,773","2,470,786"
27-Dec,,"1,284,599","2,575,985"
28-Dec,,"1,111,751","2,500,396"
29-Dec,,"1,019,347","2,009,880"
30-Dec,,"1,163,696","2,133,253"
31-Dec,,"874,406","2,392,331"
